SRR Genotype BioRep Timepoint Treatment Combined TechRep
SRR11934560-523 helperless 3 4h avrRps4 helperless_3_4h_avrRps4 TRUE
SRR11934561-524 helperless 1 4h avrRpt2 helperless_1_4h_avrRpt2 TRUE
SRR11934574 nrg1 1 0.5h avrRps4 nrg1_1_0.5h_avrRps4 FALSE
SRR11934598 nrg1 3 4h avrRps4 nrg1_3_4h_avrRps4 FALSE
SRR11934600-562 nrg1 3 4h avrRpm1 nrg1_3_4h_avrRpm1 TRUE
SRR11934601-563 nrg1 1 8h EV nrg1_1_8h_EV TRUE
SRR11934602-564 nrg1 3 4h avrRpt2 nrg1_3_4h_avrRpt2 TRUE
SRR11934603-565 nrg1 1 8h avrRps4 nrg1_1_8h_avrRps4 TRUE
SRR11934604-566 nrg1 3 8h EV nrg1_3_8h_EV TRUE
SRR11934605-567 nrg1 1 8h avrRpm1 nrg1_1_8h_avrRpm1 TRUE
SRR11934606-568 nrg1 2 8h avrRps4 nrg1_2_8h_avrRps4 TRUE
SRR11934607-569 nrg1 1 0.5h EV nrg1_1_0.5h_EV TRUE
SRR11934608-570 nrg1 2 8h avrRpm1 nrg1_2_8h_avrRpm1 TRUE
SRR11934609-571 nrg1 3 8h avrRps4 nrg1_3_8h_avrRps4 TRUE
SRR11934610-572 nrg1 1 8h avrRpt2 nrg1_1_8h_avrRpt2 TRUE
SRR11934611-573 nrg1 2 0.5h EV nrg1_2_0.5h_EV TRUE
SRR11934612-575 nrg1 3 8h avrRpm1 nrg1_3_8h_avrRpm1 TRUE
SRR11934613-576 nrg1 2 8h avrRpt2 nrg1_2_8h_avrRpt2 TRUE
SRR11934614-577 nrg1 3 0.5h EV nrg1_3_0.5h_EV TRUE
SRR11934615-578 nrg1 1 0.5h avrRpm1 nrg1_1_0.5h_avrRpm1 TRUE
SRR11934616-579 nrg1 2 0.5h avrRps4 nrg1_2_0.5h_avrRps4 TRUE
SRR11934617-580 nrg1 3 8h avrRpt2 nrg1_3_8h_avrRpt2 TRUE
SRR11934618-581 nrg1 2 0.5h avrRpm1 nrg1_2_0.5h_avrRpm1 TRUE
SRR11934619-582 nrg1 3 0.5h avrRps4 nrg1_3_0.5h_avrRps4 TRUE
SRR11934620-583 nrg1 1 0.5h avrRpt2 nrg1_1_0.5h_avrRpt2 TRUE
SRR11934621-584 nrg1 2 4h avrRpt2 nrg1_2_4h_avrRpt2 TRUE
SRR11934622-585 nrg1 3 0.5h avrRpm1 nrg1_3_0.5h_avrRpm1 TRUE
SRR11934623-586 nrg1 2 0.5h avrRpt2 nrg1_2_0.5h_avrRpt2 TRUE
SRR11934624-587 nrg1 2 8h EV nrg1_2_8h_EV TRUE
SRR11934625-588 nrg1 1 0h untreated nrg1_1_0h_untreated TRUE
SRR11934626-589 nrg1 3 0.5h avrRpt2 nrg1_3_0.5h_avrRpt2 TRUE
SRR11934627-590 nrg1 1 4h EV nrg1_1_4h_EV TRUE
SRR11934628-591 nrg1 2 0h untreated nrg1_2_0h_untreated TRUE
SRR11934629-592 nrg1 2 4h EV nrg1_2_4h_EV TRUE
SRR11934630 nrg1 1 4h avrRps4 nrg1_1_4h_avrRps4 FALSE
SRR11934631-593 nrg1 3 0h untreated nrg1_3_0h_untreated TRUE
SRR11934632-594 nrg1 3 4h EV nrg1_3_4h_EV TRUE
SRR11934633-595 nrg1 1 4h avrRpm1 nrg1_1_4h_avrRpm1 TRUE
SRR11934634-596 nrg1 2 4h avrRps4 nrg1_2_4h_avrRps4 TRUE
SRR11934635-597 nrg1 2 4h avrRpm1 nrg1_2_4h_avrRpm1 TRUE
SRR11934636-599 nrg1 1 4h avrRpt2 nrg1_1_4h_avrRpt2 TRUE
SRR11934674-637 adr1 3 4h avrRpm1 adr1_3_4h_avrRpm1 TRUE
SRR11934675-638 adr1 1 8h EV adr1_1_8h_EV TRUE
SRR11934676-639 adr1 3 4h avrRpt2 adr1_3_4h_avrRpt2 TRUE
